Blaine,Co-Tfe%,Co-FeO%,Co-SiO2%,Co-CaO%,Co-MgO%,Co-AL2O3%,Co-P%,Co-MnO%,Co-TiO2%
1823.333333,67.46,22.82,3.0295,0.638,0.426,0.497,0.091,0.031,0.222
1837.333333,67.53666667,22.65666667,2.968333333,0.6736,0.442566667,0.4922,0.1009,0.0285,0.223266667
1712.333333,67.65,22.66333333,2.838333333,0.6049,0.392066667,0.449533333,0.088166667,0.0272,0.270366667
1794.333333,67.65333333,22.50666667,2.899666667,0.622366667,0.430866667,0.485933333,0.094566667,0.0293,0.245033333
1807.666667,67.49,23.44666667,3.013,0.642666667,0.401,0.443333333,0.094333333,0.031,0.213
1787,67.55,22.85333333,2.994666667,0.665333333,0.375,0.449,0.098,0.030666667,0.209
1783.5,67.505,22.695,3.048,0.629,0.38145,0.4462,0.0945,0.02855,0.29735
1762.5,67.6,21.835,2.7225,0.678,0.376,0.442,0.107,0.031,0.2595
1741,67.67,23,2.839,0.6795,0.416,0.4515,0.1,0.0305,0.209
1794,67.5,23.765,2.875,0.6815,0.391,0.4375,0.103,0.029,0.219
1719.5,67.99,24.12,2.5965,0.60725,0.3963,0.36165,0.0917,0.02535,0.27785
1773,67.75,22.88,2.726,0.625,0.378,0.417,0.098,0.027,0.295
1722.333333,67.71333333,23.90333333,2.798333333,0.607333333,0.374666667,0.433333333,0.092666667,0.025333333,0.25
1845.5,67.48,23.685,3.0925,0.607,0.394,0.4935,0.0865,0.028,0.274
1794,67.525,23.45,2.891,0.6241,0.38835,0.4588,0.097,0.0256,0.3147
1782.5,67.715,23.465,2.8355,0.5585,0.38,0.398,0.092,0.025,0.2525
1727,67.665,22.765,2.9805,0.635,0.398,0.472,0.095,0.0295,0.207
1554.5,67.665,22.475,2.8115,0.6055,0.377,0.45,0.089,0.0295,0.2365
1825,67.58,23.075,2.872,0.6064,0.4027,0.461,0.0962,0.02695,0.3429
1824.5,67.435,22.575,3.003,0.6525,0.413,0.4585,0.0995,0.0295,0.2535
1653,67.495,23.21,3.147,0.6525,0.392,0.486,0.0965,0.03,0.2255
1653,67.525,23.52,3.074,0.6235,0.408,0.4685,0.089,0.028,0.261
1630.5,67.465,23.45,3.2825,0.5855,0.4131,0.467,0.0878,0.02355,0.3502
1687,67.44,23.475,3.077,0.6115,0.3945,0.507,0.086,0.026,0.288
1679,67.43,22.85,3.131,0.632,0.417333333,0.498666667,0.092333333,0.027666667,0.253333333
1629.5,67.405,24.08,3.084,0.625,0.4155,0.511,0.093,0.028,0.2355
1662,67.52,23.45,3.072,0.6385,0.42205,0.505,0.092,0.0275,0.232
1673.5,67.665,23.065,3.015,0.611,0.4005,0.494,0.094,0.027,0.3655
1662,67.475,22.995,2.9255,0.6415,0.3945,0.4695,0.098,0.0285,0.2565
1650.5,67.405,23.075,2.9605,0.6408,0.38595,0.51055,0.08685,0.0264,0.3065
1603,67.68,23.7,2.8525,0.6155,0.3895,0.4775,0.0965,0.0215,0.29
1579,67.725,23.36,2.8195,0.646,0.3875,0.4565,0.0975,0.026,0.2635
1590.5,67.745,22.595,2.7855,0.622,0.415,0.4425,0.099,0.0215,0.328
1614.5,67.865,23.595,2.7685,0.59135,0.366,0.479,0.08935,0.0197,0.30945
1650,67.82,23.675,2.711,0.5915,0.4,0.4635,0.095,0.018,0.342
1696,67.845,23.94,2.691,0.657,0.402,0.44,0.1085,0.02,0.2735
1661.5,67.815,23.965,2.7175,0.666,0.413,0.4425,0.1,0.0245,0.249
1752,67.695,23.295,2.8355,0.61175,0.42665,0.4685,0.09415,0.02035,0.32205
1752,67.615,22.71,2.8605,0.6285,0.4745,0.5005,0.0985,0.019,0.352
1741,67.56,23.27,2.9485,0.618,0.425,0.4975,0.093,0.022,0.318
1726.5,67.525,23.3,2.949,0.6585,0.4465,0.528,0.094,0.024,0.2775
1848,67.625,23.14,2.9085,0.6055,0.4019,0.5055,0.09845,0.0208,0.2988
1868.5,67.48,22.96,2.95,0.6065,0.4035,0.5205,0.102,0.019,0.343
1795,67.67,22.98,2.866,0.666,0.368,0.503,0.116,0.021,0.285
1773.5,67.665,23.41,2.8525,0.6635,0.3635,0.516,0.111,0.025,0.2315
1858,67.98,23.62,2.5535,0.62455,0.323,0.438,0.113,0.0206,0.2834
1817,68.005,23.495,2.635,0.631,0.3505,0.4335,0.0945,0.0245,0.213
1858.5,67.925,23.45,2.6495,0.5515,0.3335,0.44,0.1015,0.013,0.305
1827.5,67.85,23.835,2.8945,0.6225,0.4345,0.4985,0.0985,0.024,0.2255
1847,67.875,23.875,2.724,0.6085,0.34925,0.453,0.101,0.01915,0.3347
1806,67.895,22.755,2.732,0.6325,0.389,0.47,0.1095,0.0185,0.39
1848,68.08,23.065,2.5465,0.6145,0.358,0.405,0.1035,0.0195,0.3635
1888,67.93,22.915,2.6585,0.6405,0.3705,0.4475,0.099,0.0245,0.305
1889,67.84,22.745,2.7265,0.58145,0.35085,0.4665,0.0976,0.01895,0.35335
1858,67.63,21.965,2.96,0.66,0.4,0.5185,0.0995,0.0235,0.3315
1848,67.645,22.975,2.8495,0.6505,0.346,0.4394,0.099,0.0285,0.208
1888.5,67.82,22.15,2.849,0.63585,0.3485,0.47965,0.09055,0.0274,0.2029
1888.5,67.695,21.83,2.839,0.713,0.4215,0.5025,0.1115,0.0305,0.212
1868.5,67.745,22.23,2.678,0.661,0.362,0.4305,0.0975,0.03,0.214
1795,67.77,22.345,2.75,0.6555,0.3625,0.454,0.096,0.0295,0.223
1827.5,67.71,21.575,2.735,0.63775,0.35965,0.46035,0.0882,0.0275,0.2159
1878.5,67.645,21.43,2.986,0.634,0.3605,0.474,0.0915,0.027,0.222
1909,67.72,22.69,2.8745,0.6585,0.3675,0.455,0.0905,0.0285,0.22
1868,67.64,23.075,3.0475,0.71235,0.3764,0.4615,0.1035,0.028,0.22795
1888.5,67.62,23.42,2.902,0.73875,0.3565,0.4153,0.11275,0.0275,0.2225
1868,67.585,22.965,3.0465,0.721,0.3525,0.4525,0.105,0.028,0.214
1825.5,67.81,23.455,2.768,0.707,0.3525,0.406,0.1045,0.0255,0.245
1899,67.66,23.52,2.965,0.693,0.331,0.431,0.099,0.028,0.209
1929,67.59,22.7,2.861,0.715,0.38,0.4425,0.101,0.026,0.215
1636,67.54,22.69,3.0615,0.682,0.3945,0.475,0.0955,0.027,0.27
1728.5,67.595,22.575,2.9825,0.68,0.3715,0.4545,0.094,0.028,0.2085
1816.5,67.32,23.375,2.9965,0.6635,0.397,0.4575,0.093,0.0285,0.2115
1784.5,67.565,23.11,3,0.6372,0.3756,0.46355,0.0874,0.0272,0.21615
1816,67.47,22.945,3.003,0.7015,0.4015,0.4735,0.1,0.026,0.2805
1868.5,67.655,22.945,2.881,0.6835,0.379,0.462,0.092,0.0285,0.219
1889,67.47,23.355,3.031,0.7025,0.371,0.4825,0.093,0.028,0.215
1899,67.465,22.84,2.93,0.70195,0.36125,0.481,0.09215,0.02565,0.25295
1939,67.77,22.895,2.9105,0.8145,0.476,0.47,0.1205,0.026,0.2385
1968.5,67.72,23.225,2.696,0.7475,0.3405,0.4445,0.101,0.028,0.214
1968.5,67.725,24.01,2.695,0.748,0.3515,0.407,0.105,0.029,0.204
1919,67.82,24.305,2.6365,0.7388,0.3557,0.416,0.1069,0.0283,0.2595
1919,67.8,23.75,2.6785,0.7315,0.384,0.40495,0.108,0.027,0.251
1929,67.82,24.275,2.6705,0.7155,0.3575,0.381,0.108,0.0285,0.205
1889,67.855,24.59,2.6195,0.72995,0.38035,0.37085,0.1092,0.029,0.19915
1879,68.03,24.53,2.479,0.698,0.313,0.345,0.105,0.027,0.24
1879,67.72,24.14,2.62,0.701,0.356,0.376,0.107,0.025,0.261
1958.666667,67.78666667,23.87666667,2.734,0.730333333,0.377333333,0.422,0.112666667,0.026,0.232
1978,67.70333333,24.11333333,2.780333333,0.701666667,0.347,0.417,0.109666667,0.026666667,0.226666667
1938.666667,67.97333333,24.29333333,2.505666667,0.685266667,0.3451,0.357733333,0.104833333,0.025933333,0.228933333
1899,68.16,23.92333333,2.356,0.646166667,0.3212,0.322066667,0.1049,0.022333333,0.2539
1878.666667,68.32666667,24.49,2.357666667,0.648666667,0.318333333,0.354666667,0.110666667,0.023666667,0.265666667
1823.666667,68.33,24.12,2.380333333,0.664,0.341666667,0.367,0.111666667,0.024333333,0.264666667
1872,68.19666667,23.94666667,2.2925,0.683,0.3365,0.3525,0.1085,0.0265,0.2365
1879,68.06,23.68333333,2.387333333,0.624,0.343666667,0.382,0.101,0.025,0.229
1899,68.24666667,23.92333333,2.511666667,0.634,0.317333333,0.425666667,0.101666667,0.025333333,0.232666667
1905.666667,68.06333333,23.94666667,2.438,0.702266667,0.344433333,0.426666667,0.108466667,0.025933333,0.214533333
1794.333333,68.09333333,24.22666667,2.418,0.674966667,0.330933333,0.396433333,0.109266667,0.024733333,0.237966667
1858,68.09,23.74666667,2.499333333,0.6621,0.363833333,0.412966667,0.1025,0.027133333,0.2061
1878.666667,67.85333333,23.83666667,2.794666667,0.609666667,0.378333333,0.492666667,0.097333333,0.023666667,0.239666667
1844,67.69,23.35666667,2.887333333,0.661333333,0.392333333,0.5,0.098333333,0.024666667,0.238333333
1932.333333,67.69666667,23.31,2.937333333,0.687333333,0.391333333,0.516666667,0.100666667,0.026666667,0.261666667
1899,67.78,23.6,2.846,0.656666667,0.370666667,0.502666667,0.096666667,0.025666667,0.238
1872,67.78333333,24.11666667,2.825,0.655666667,0.354333333,0.504333333,0.098666667,0.025,0.225
1939,67.7,23.5,2.928,0.625,0.372,0.536,0.091,0.026,0.237
1871.666667,67.84666667,23.82,2.793,0.631,0.375033333,0.519833333,0.094566667,0.026166667,0.242133333
1812,67.83666667,23.35666667,2.699333333,0.655533333,0.375666667,0.474866667,0.094833333,0.025466667,0.241266667
1809.666667,67.93666667,23.88,2.741666667,0.636333333,0.364,0.484666667,0.095333333,0.024333333,0.235
1802.333333,68.03333333,23.84,2.619333333,0.652666667,0.381333333,0.474333333,0.095666667,0.026333333,0.237666667
1830,68.05,23.19,2.512666667,0.633,0.348333333,0.452333333,0.094333333,0.026,0.243
1844.666667,67.94333333,22.44333333,2.472666667,0.675666667,0.387,0.442,0.103,0.028,0.251
1864,67.81333333,22.44666667,2.67,0.702,0.418666667,0.498666667,0.104666667,0.027,0.222
1891.666667,67.68666667,22.08666667,2.825333333,0.704466667,0.384333333,0.521033333,0.1038,0.028633333,0.2308
1787,67.65,22.3,2.739666667,0.715933333,0.3921,0.5141,0.1018,0.0292,0.258433333
1823.666667,67.61666667,21.84666667,2.842666667,0.722666667,0.422666667,0.523333333,0.103,0.03,0.254333333
1816.666667,67.50666667,21.93666667,2.891666667,0.728333333,0.430666667,0.515333333,0.11,0.030666667,0.225666667
1809,67.76333333,23.02666667,2.724666667,0.732333333,0.405666667,0.494,0.115666667,0.03,0.215333333
1722.333333,67.77666667,23.33666667,2.636666667,0.735333333,0.402666667,0.493,0.116,0.028666667,0.231666667
1773.666667,68.07666667,23.20333333,2.525,0.704,0.392333333,0.469333333,0.114333333,0.027,0.214333333
1795,67.91,22.97666667,2.655333333,0.738666667,0.393666667,0.483666667,0.114666667,0.027,0.227
1809.333333,68.07666667,23.74666667,2.453,0.696333333,0.395333333,0.452666667,0.115333333,0.026666667,0.207
1843.666667,67.95666667,23.36,2.43,0.710133333,0.3755,0.450866667,0.114333333,0.025466667,0.233466667
1809.333333,68.10333333,23.83666667,2.320333333,0.756233333,0.393733333,0.444033333,0.125433333,0.026366667,0.221
1871.666667,68.21333333,24.53333333,2.461333333,0.681333333,0.396,0.472,0.117666667,0.025666667,0.198
1872,67.99333333,24.51333333,2.546666667,0.693133333,0.389033333,0.484333333,0.117333333,0.025033333,0.203333333
1892,68.05,24.41666667,2.476333333,0.6934,0.3864,0.4513,0.116966667,0.024333333,0.219333333
1878.333333,68.03666667,23.84666667,2.491,0.698833333,0.4377,0.478466667,0.106966667,0.0252,0.225566667
1865.333333,68.01333333,23.2,2.408,0.652066667,0.4531,0.465566667,0.0958,0.0238,0.224
1795,68.15666667,22.92666667,2.409666667,0.625333333,0.442333333,0.447333333,0.085333333,0.025,0.227333333
1766.333333,68.14666667,23.68333333,2.497333333,0.627666667,0.442333333,0.459,0.091,0.023333333,0.230333333
1744.333333,68.04666667,22.96,2.541666667,0.645333333,0.447,0.481666667,0.092666667,0.025,0.212333333
1730,68.05666667,22.74,2.556666667,0.679,0.48,0.472,0.095,0.024666667,0.2063
1773.333333,67.95666667,22.31333333,2.527,0.698333333,0.472666667,0.473,0.100666667,0.025666667,0.211
1809.666667,67.82666667,22.17666667,2.597,0.730666667,0.497666667,0.501,0.112,0.026333333,0.201
1766.333333,67.80333333,21.65333333,2.544,0.801,0.461666667,0.479666667,0.125,0.027666667,0.209
1851,67.85333333,22.26,2.498666667,0.749666667,0.477666667,0.512333333,0.112666667,0.026,0.216
1858.333333,67.51333333,22.46,2.804333333,0.713566667,0.497733333,0.541166667,0.1128,0.0249,0.220333333
1868.5,67.175,22.48,3.1085,0.77075,0.52745,0.62,0.13115,0.02525,0.23395
1867,67.18,22.955,3.2755,0.6525,0.4805,0.726,0.101,0.0255,0.223
1905.666667,67.31,22.57666667,3.087,0.637666667,0.469,0.619333333,0.096333333,0.0248,0.224666667
1905.666667,67.49333333,23.41666667,3.132,0.646666667,0.485666667,0.606333333,0.100333333,0.0245,0.237
1829.666667,67.28,22.91666667,3.285666667,0.652666667,0.510666667,0.570666667,0.103,0.026,0.243333333
1878.666667,67.40333333,23.26,3.148333333,0.653333333,0.482,0.626666667,0.099666667,0.026333333,0.243333333
1899,67.49333333,23.42333333,3.154666667,0.614666667,0.468,0.653333333,0.094333333,0.023666667,0.237333333
1817,67.6,23.55,2.957,0.634,0.409,0.582,0.103,0.025,0.221
1830.333333,67.75333333,24.26333333,2.969266667,0.644666667,0.45,0.589333333,0.103666667,0.024,0.249666667
1837.666667,67.77,24.33666667,2.977666667,0.651,0.426666667,0.584333333,0.103,0.024333333,0.2172
1787.333333,67.71666667,24.55,3.043,0.6454,0.423233333,0.587033333,0.108466667,0.0215,0.247666667
1759,67.66666667,24.77,2.927,0.622733333,0.4032,0.561266667,0.106433333,0.018566667,0.303066667
1737.333333,67.57,24.29666667,3.022,0.6451,0.4122,0.579966667,0.105266667,0.023,0.243566667
1781,67.42,24.26333333,3.265333333,0.593866667,0.437766667,0.6289,0.102866667,0.0195,0.253833333
1752,67.53,24.79,3.117333333,0.6089,0.416666667,0.5822,0.0977,0.0222,0.244666667
1752,67.48666667,24.10333333,3.148,0.632333333,0.431666667,0.599333333,0.1,0.024666667,0.233333333
1773.666667,67.52,24.49,3.293666667,0.578,0.434,0.629333333,0.094333333,0.021666667,0.245333333
1730,67.33333333,23.89666667,3.415,0.567,0.430666667,0.678333333,0.100666667,0.022,0.220333333
1692.666667,67.35333333,24.36666667,3.473666667,0.531566667,0.4224,0.695033333,0.094966667,0.018233333,0.2398
1707.666667,67.32333333,24.37,3.334666667,0.5615,0.415466667,0.679666667,0.108433333,0.0183,0.2713
1692.666667,67.43666667,23.69666667,3.227666667,0.597166667,0.429766667,0.642866667,0.108333333,0.0233,0.249266667
1715,67.37333333,23.39,3.17,0.608,0.415333333,0.629666667,0.11,0.025,0.226333333
1707.666667,67.40666667,23.81333333,3.164333333,0.619666667,0.422666667,0.627,0.109,0.023666667,0.226666667
1661.666667,67.57,23.24,2.974,0.582333333,0.380333333,0.609666667,0.100666667,0.026333333,0.199666667
1707.666667,67.66666667,23.75,3.017666667,0.602,0.402333333,0.593,0.1,0.025333333,0.221333333
1752,67.83,23.18,2.899,0.579,0.37,0.536,0.094,0.025,0.205
1729.666667,67.6,23.2,2.830666667,0.6311,0.3754,0.551333333,0.097133333,0.0256,0.241133333
1744.666667,67.63333333,23.75,2.903666667,0.660566667,0.4137,0.5626,0.1054,0.024933333,0.2597
1700,67.60333333,23.26333333,2.990666667,0.669666667,0.434666667,0.568333333,0.109666667,0.026666667,0.242666667
1737.333333,67.55333333,23.47666667,2.949,0.659333333,0.393666667,0.559,0.108,0.025,0.239333333
1715,67.48666667,23.55666667,3.085333333,0.655666667,0.448333333,0.607,0.104666667,0.027,0.214666667
1707,67.66666667,22.69333333,3.148,0.632,0.387,0.604,0.102,0.027,0.243
1730,67.93,22.98666667,2.9005,0.5905,0.381,0.5315,0.0965,0.0255,0.2425
1763,67.735,22.61,3.313,0.609,0.546,0.69,0.104,0.025,0.234
